StationUID,StationID,StationName,StationClass,LocationCity,LocationTown,LocationTownCode,PositionLon,PositionLat
TRA-4140,4140,林鳳營,4,臺南市,六甲區,67000090,120.32107,23.24259
TRA-4150,4150,隆田,2,臺南市,官田區,67000100,120.31917,23.19271
TRA-4160,4160,拔林,5,臺南市,官田區,67000100,120.32117,23.17287
TRA-4170,4170,善化,2,臺南市,善化區,67000190,120.30653,23.13333
TRA-4180,4180,南科,4,臺南市,新市區,67000200,120.30175,23.10714
TRA-4190,4190,新市,3,臺南市,新市區,67000200,120.29004,23.06816
TRA-4200,4200,永康,2,臺南市,永康區,67000310,120.25374,23.03873
TRA-4210,4210,大橋,4,臺南市,永康區,67000310,120.22449,23.01951
TRA-4220,4220,臺南,1,臺南市,東區,67000320,120.21231,22.99719
TRA-4250,4250,保安,3,臺南市,仁德區,67000270,120.23143,22.93289
TRA-4260,4260,仁德,4,臺南市,仁德區,67000270,120.24061,22.92364
TRA-4270,4270,中洲,2,臺南市,仁德區,67000270,120.25286,22.90466
TRA-4271,4271,長榮大學,4,臺南市,歸仁區,67000280,120.27274,22.90735
TRA-4272,4272,沙崙,4,臺南市,歸仁區,67000280,120.28635,22.92419
TRA-4290,4290,大湖,3,高雄市,路竹區,64000240,120.25384,22.87821
TRA-4300,4300,路竹,3,高雄市,路竹區,64000240,120.26619,22.85404
TRA-4310,4310,岡山,1,高雄市,岡山區,64000190,120.30008,22.79251
TRA-4320,4320,橋頭,3,高雄市,橋頭區,64000200,120.31043,22.76113
TRA-4330,4330,楠梓,2,高雄市,楠梓區,64000040,120.32453,22.72717
TRA-4340,4340,新左營,1,高雄市,左營區,64000030,120.30721,22.68721
TRA-4350,4350,左營,4,高雄市,左營區,64000030,120.29441,22.67441
TRA-4360,4360,內惟,4,高雄市,鼓山區,64000020,120.28691,22.66611
TRA-4370,4370,美術館,4,高雄市,鼓山區,64000020,120.28163,22.65298
TRA-4380,4380,鼓山,4,高雄市,鼓山區,64000020,120.28071,22.64169
TRA-4390,4390,三塊厝,4,高雄市,三民區,64000050,120.29381,22.63901
TRA-4400,4400,高雄,0,高雄市,三民區,64000050,120.30313,22.63801
TRA-4410,4410,民族,4,高雄市,三民區,64000050,120.31479,22.63881
TRA-4420,4420,科工館,4,高雄市,三民區,64000050,120.32663,22.63702
TRA-4430,4430,正義,4,高雄市,三民區,64000050,120.34245,22.63425
TRA-4440,4440,鳳山,2,高雄市,鳳山區,64000120,120.35746,22.63131
TRA-4450,4450,後庄,4,高雄市,大寮區,64000140,120.39132,22.64013
TRA-4460,4460,九曲堂,3,高雄市,大樹區,64000150,120.42072,22.65658
TRA-4470,4470,六塊厝,5,屏東縣,屏東市,10013010,120.46491,22.66619
TRA-5000,5000,屏東,1,屏東縣,屏東市,10013010,120.48627,22.66961
TRA-5010,5010,歸來,5,屏東縣,屏東市,10013010,120.50294,22.65214
TRA-5020,5020,麟洛,5,屏東縣,麟洛鄉,10013070,120.51446,22.63478
TRA-5030,5030,西勢,3,屏東縣,竹田鄉,10013140,120.52677,22.61661
TRA-5040,5040,竹田,4,屏東縣,竹田鄉,10013140,120.54009,22.58648
